Date,Close
2020-01-01,8010.4342830602245
2020-01-02,8008.168997036801
2020-01-03,8021.6227677988145
2020-01-04,8052.583364926975
2020-01-05,8048.4002974325085
2020-01-06,8044.217558293525
2020-01-07,8076.301814603673
2020-01-08,8092.150509186731
2020-01-09,8083.261021468032
2020-01-10,8094.6122223397515
2020-01-11,8085.843868483502
2020-01-12,8077.029273412097
2020-01-13,8082.368518843417
2020-01-14,8044.602913950262
2020-01-15,8010.604557300001
2020-01-16,7999.858806715181
2020-01-17,7980.102184308493
2020-01-18,7986.887130960398
2020-01-19,7969.2266494499745
2020-01-20,7941.480575423268
2020-01-21,7971.2935508017
2020-01-22,7967.278024791969
2020-01-23,7969.128588885727
2020-01-24,7941.133625161458
2020-01-25,7930.745970670954
2020-01-26,7933.464422465152
2020-01-27,7910.944550916705
2020-01-28,7918.958511283619
2020-01-29,7907.445737485243
2020-01-30,7902.111862489378
2020-01-31,7890.57773024479
2020-02-01,7928.123293934968
2020-02-02,7928.35334944021
2020-02-03,7907.699130861091
2020-02-04,7924.650029103155
2020-02-05,7900.733156103735
2020-02-06,7905.41042800383
2020-02-07,7866.7170255262345
2020-02-08,7840.653304548266
2020-02-09,7845.090529265648
2020-02-10,7860.359860865557
2020-02-11,7864.287226489356
2020-02-12,7862.474260841591
2020-02-13,7856.952186929805
2020-02-14,7827.8817471224565
2020-02-15,7813.984862954563
2020-02-16,7805.272087535367
2020-02-17,7826.914532059745
2020-02-18,7834.286897851114
2020-02-19,7799.52609474386
2020-02-20,7806.5077741317555
2020-02-21,7799.30612852343
2020-02-22,7786.2676885173105
2020-02-23,7799.001214294128
2020-02-24,7820.121204744047
2020-02-25,7839.24680712637
2020-02-26,7822.962456661918
2020-02-27,7817.2782091448935
2020-02-28,7824.403477772965
2020-02-29,7844.414380315412
2020-03-01,7835.330895558506
2020-03-02,7832.11771602523
2020-03-03,7810.491016545109
2020-03-04,7787.066884063496
2020-03-05,7803.81740051138
2020-03-06,7831.442201082797
2020-03-07,7830.50199865119
2020-03-08,7851.07265660903
2020-03-09,7858.805377109983
2020-03-10,7846.40298201788
2020-03-11,7854.130894128049
2020-03-12,7885.391625457368
2020-03-13,7885.175104675169
2020-03-14,7916.967977791449
2020-03-15,7865.073075709654
2020-03-16,7882.0111257971585
2020-03-17,7884.252067161922
2020-03-18,7878.771920152605
2020-03-19,7881.1071356833145
2020-03-20,7841.855757391297
2020-03-21,7837.9623196345465
2020-03-22,7845.604571064781
2020-03-23,7875.662451959612
2020-03-24,7865.797047594139
2020-03-25,7850.127175536275
2020-03-26,7840.592034664584
2020-03-27,7859.400077018626
2020-03-28,7866.47509921182
2020-03-29,7856.379895136479
2020-03-30,7867.145243798746
2020-03-31,7869.586794785707
2020-04-01,7889.459694596365
2020-04-02,7875.918632718817
2020-04-03,7869.865389786863
2020-04-04,7862.523226724219
2020-04-05,7833.752927761577
2020-04-06,7840.175333302868
2020-04-07,7845.896438746466
2020-04-08,7846.498707879316
2020-04-09,7842.306965211812
2020-04-10,7814.499550370804
2020-04-11,7806.586643915497
2020-04-12,7800.232353584961
2020-04-13,7784.686808200529
2020-04-14,7781.961093967208
2020-04-15,7790.542111103499
2020-04-16,7828.76582912771
2020-04-17,7832.757385384347
2020-04-18,7838.4083931988025
2020-04-19,7837.419474883479
2020-04-20,7799.544050577498
2020-04-21,7799.513773068514
2020-04-22,7801.218377267334
2020-04-23,7850.98321951704
2020-04-24,7847.636000221418
2020-04-25,7854.16694706809
2020-04-26,7853.972711673985
2020-04-27,7831.099150921595
2020-04-28,7854.455607211895
2020-04-29,7869.99426786563
2020-04-30,7886.314906806491
2020-05-01,7868.627157710596
2020-05-02,7897.183043929318
2020-05-03,7869.6460226734725
2020-05-04,7881.883164549478
2020-05-05,7926.192277065677
2020-05-06,7906.881550563064
2020-05-07,7896.055595971008
2020-05-08,7898.548623272762
2020-05-09,7888.9791101904375
2020-05-10,7858.465841569115
2020-05-11,7860.337101065235
2020-05-12,7839.591026790713
2020-05-13,7849.562875403417
2020-05-14,7831.674390718741
2020-05-15,7863.173078819092
2020-05-16,7848.0080129723665
2020-05-17,7842.066782648253
2020-05-18,7858.837126995647
2020-05-19,7834.719840666968
2020-05-20,7839.76903935905
2020-05-21,7866.411894444698
2020-05-22,7834.7622297534745
2020-05-23,7838.95490692412
2020-05-24,7844.6525628090885
2020-05-25,7860.789020244635
2020-05-26,7836.550006027073
2020-05-27,7810.640873765387
2020-05-28,7821.5797050777255
2020-05-29,7828.019398542389
2020-05-30,7833.529255549307
2020-05-31,7840.9582197392465
2020-06-01,7827.857725307676
2020-06-02,7833.002799250897
2020-06-03,7839.36424871687
2020-06-04,7825.577220356343
2020-06-05,7863.392710579238
2020-06-06,7873.369368997473
2020-06-07,7850.043299053421
2020-06-08,7863.674371226098
2020-06-09,7844.680737821551
2020-06-10,7860.9224298964
2020-06-11,7884.594341476548
2020-06-12,7868.680695109514
2020-06-13,7888.4482176944
